,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,For which step of the AST can the funding be used?,,,,,,Who is eligible to receive funding?,,,,Which sectors can receive funding?,,,,,,,,,,,,,,Which type of funding is granted?,,,,,What is the expected budget range of proposals?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EU Social Fund,Go To EU Social Fund,European Social Fund Plus,Go To European Social Fund Plus,EU-27,0,All regions in EU-27,0,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,50-95% co-financing rate,NOT SPECIFIED,0,NOT SPECIFIED,NO,0,MEDIUM,English + national language for national funding,,"The Fund aims to finance projects focusing on the reskilling and upskilling of people for the transition to a green and digital Europe, through the improvement of education and training systems necessary for the adaptation of skills and qualifications, the upskilling of all, including the labour force, the creation of new jobs in sectors related to the environment, climate, energy, the circular economy and the bioeconomy",0,"ESF+ offers three different funding strands:
-Shared management: Programmes implemented by Member States (MS) in shared liability with and after approval by the European Commission (EC).
-Employment and Social Innovation (EaSI): Directly managed by the EC and publishes calls on its portal to distribute close to € 762 million for 2021-2027.
-ESF Social Innovation+: Managed by the Lithuanian European Social Fund Agency aiming for facilitation the transfer and upscaling of innovative solutions and will directly open calls with its budget of €197 million for 2021-2027.",,1,Shared Management,Programmes implemented by Member States in shared liability with and after approval by the European Commission,https://ec.europa.eu/european-social-fund-plus/en/shared-management,0,0,0,0,0,0,0,0,0,0,0,,"https://ec.europa.eu/european-social-fund-plus/en/how-direct-management-works
https://ec.europa.eu/social/main.jsp?catId=624&langId=en
https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/programmes/esf
https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-search;callCode=null;freeTextSearchKeyword=;matchWholeText=true;typeCodes=1,0;statusCodes=31094501,31094502,31094503;programmePeriod=2021%20-%202027;programCcm2Id=43254019;programDivisionCode=null;focusAreaCode=null;destinationGroup=null;missionGroup=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState",https://ec.europa.eu/european-social-fund-plus/en/support-your-country,0,0,https://ec.europa.eu/social/main.jsp?advSearchKey=EaSIannualworkprogramme&mode=advancedSubmit&catId=22&policyArea=0&policyAreaSub=0&country=0&year=0#navItem-1,Annual work programme,https://www.esf.lt/en,ESFA website
EU Innovation Fund,Go To EU Innovation Fund,Innovation Fund,Go To Innovation Fund,"EU-27, Norway, Iceland",0,All regions in those countries,0,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,60% co-financing rate,NOT SPECIFIED,0,YES,NO,0,HIGH,English,,"The innovation fund aims to help businesses invest in clean energy and industry to boost economic growth, create local and future-proof jobs, and reinforce European technological leadeship on a global scale.",low-carbon technologies and processes in energy-intensive industries,The European Commission is responsible for the overall management of the IF and approves the selection of projects. CINEA supports the efficient and effective implementation of the programme for small and large-scale projects whereas the European Investment Bank provides and manages the PDA,,1,Small-scale projects,">2,5 million Eur",https://climate.ec.europa.eu/eu-action/funding-climate-action/innovation-fund/small-scale-calls_en,0,0,0,0,0,0,0,0,0,0,0,,"Small scale projects: https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-search;callCode=null;freeTextSearchKeyword=;matchWholeText=true;typeCodes=1,0;statusCodes=31094502,31094503,31094501;programmePeriod=2021%20-%202027;programCcm2Id=
43089234;programDivisionCode=null;focusAreaCode=null;destinationGroup=null;missionGroup=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState  
Large-scale projects: https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-search;callCode=null;freeTextSearchKeyword=;matchWholeText=true;typeCodes=1,0;statusCodes=31094502,31094503,31094501;programmePeriod=2021%20-%202027;programCcm2Id=43089234;programDivisionCode=null;focusAreaCode=null;destinationGroup=null;missionGroup=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState",https://climate.ec.europa.eu/eu-action/funding-climate-action/innovation-fund/national-contact-points_en,"Small-scale projects: https://www.youtube.com/watch?v=k-P0D0VTLnU

large-scale projects : https://www.youtube.com/watch?v=-gOvK999wKY
https://www.youtube.com/watch?v=AEoAWOBslew","info-day, lesson learned",https://cinea.ec.europa.eu/programmes/innovation-fund_en,CINEA general information on the fund,https://www.eib.org/en/products/mandates-partnerships/innovation-fund/index.htm,EIB general information on the fund
EU LIFE,Go To EU LIFE,LIFE,Go To LIFE,EU-27,0,All regions in EU-27,0,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,public procurement,NO,NO,YES,YES,YES,"60-100% co-financing, depending on the type of call",YES,7% as flat rate,NOT SPECIFIED,YES,international consortium is required,HIGH,English,,"The main objective of the programme is to support the implementation, updating and development of EU environment and climate policy and legislation by financing projects with European added value in this area.",Nature and biodiversity,European Commission,,1,Nature and biodiversity,"projects aimed at expanding, protecting, preserving and nurturing nature for a sustainable and balanced future",https://cinea.ec.europa.eu/programmes/life_en,0,0,0,0,0,0,0,0,0,0,0,,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-search;callCode=null;freeTextSearchKeyword=;matchWholeText=true;typeCodes=1,0;statusCodes=31094501,31094502,31094503;programmePeriod=2021%20-%202027;programCcm2Id=43252405;programDivisionCode=null;focusAreaCode=null;destinationGroup=null;missionGroup=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState",https://cinea.ec.europa.eu/programmes/life/life-european-countries_en,"https://cinea.ec.europa.eu/news-events/events/eulife23-info-days-2023-04-25_en
",LIFE Info-day,https://ec.europa.eu/info/funding-tenders/opportunities/docs/2021-2027/life/wp-call/2021-2024/wp_life-2021-2024_en.pdf,Workprogramme,https://webgate.ec.europa.eu/life/publicWebsite/index.cfm,past projects
EU Union Civil Protection Mecha,Go To EU Union Civil Protection Mecha,Union Civil Protection Mechanism (UCPM),Go To Union Civil Protection Mechanism (UCPM),EU-27,"Iceland, Norway, Albania, Bosnia and Herzegovina, Moldavia, Montenegro, North Macedonia, Serbia, Turkey, Ukraine, Kosovo",All regions in those countries,0,YES,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,public procurement,YES,YES,YES,NO,NO,up to 85% co-financing rate,NOT SPECIFIED,0,NOT SPECIFIED,YES,"Except for multi-country grants, applications must be submitted i) either by the national civil protection authorities and their affiliated entities or ii) by other entities with the compulsory endorsement of the national civil prection authority",MEDIUM,English,,"The Union Civil Protection Mechanism aims to strenghten the cooperation and coordination inside and outside the EU in the field of civil protection, namely to improve prevention, preparedness and response to disasters.",0,European Commission,,1,Prevention and preparedness projects in civil protection,0,0,Yes,Track I. Single-Country Grants,0,Track II. Multi-Country Grants,0,0,0,0,0,0,0,,"https://civil-protection-humanitarian-aid.ec.europa.eu/funding-evaluations/financing-civil-protection/calls-proposals_en
https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/programmes/ucpm2027",0,"https://civil-protection-humanitarian-aid.ec.europa.eu/funding-evaluations/financing-civil-protection/calls-proposals/information-day_en
https://webcast.ec.europa.eu/information-day-on-civil-protection-multi-annual-work-programme-2021-2024-funding-opportunities-2022-03-30%20",info-day,https://civil-protection-humanitarian-aid.ec.europa.eu/what/civil-protection/eu-civil-protection-knowledge-network_en,EU Civil Protection Knowledge Network,https://civil-protection-humanitarian-aid.ec.europa.eu/funding-evaluations/financing-civil-protection/prevention-and-preparedness-projects-civil-protection/overview-past-track-i-and-track-ii-projects_en,past projects of cluster 1
HORIZON EUROPE,Go To HORIZON EUROPE,HORIZON EUROPE,Go To HORIZON EUROPE,EU-27,"Albania, Armenia, Bosnia and Herzegovina, Faroe Islands, Georgia, Iceland, Israel, Kosovo, Moldova, Montenegro,  New Zealand, North Macedonia, Norway, Serbia, Tunisia, Türkiye, Ukraine, United Kingdom",all regions within selected countries,0,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,public procurement,NO,NO,YES,YES,YES,70-100%,YES,25% flat rate on top of eligible direct cost,YES,YES,must include at least three organisations from different EU Member States or associated countries. Special rules for certain calls may apply.,HIGH,ENG,,"Horizon Europe is the European Union’s flagship Research and Innovation programme and part of the EU long-term Multiannual Financial Framework 2021-2027. It seeks to:
- Tackle climate change
- Contribute to achieving the UN Sustainable Development Goals
- Boost the EU’s competitiveness and growth
- Facilitate collaboration and strengthen the impact of research and innovation in developing, supporting and implementing EU policies
- Support the creation and better diffusion of excellent knowledge and technologies
- Create jobs, boost economic growth, promote industrial competitiveness and optimise investment impact","Horizon Europe is divided into three pillars corresponding to its main priorities (Excellent Science, Global Challenges and European Industrial Competitiveness, Innovative Europe) and one focus on the 5 mission areas","
The European Commission allocates the budget to specific topics and opens calls for proposals. Certain calls are managed by CINEA (Climate, Infrastructure and Environment Executive Agency) on behalf of the European Commission.",,1,"PILLAR I
EXCELLENT SCIENCE","Increase the EU’s global scientific competitiveness.
- Research driven by top researchers through the European Research Council
- Fellowships for postdoctoral researchers, doctoral training networks and exchanges for researchers through Marie Skłodowska-Curie Actions
- Investment in world-class Research Infrastructures","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-search;callCode=null;freeTextSearchKeyword=;matchWholeText=true;typeCodes=1,0;statusCodes=31094501,31094502,31094503;programmePeriod=2021%20-%202027;programCcm2Id=43108390;programDivisionCode=43108394,43108406,43108473,43108514;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageStatesearch",YES,European Research Council,https://research-and-innovation.ec.europa.eu/funding/funding-opportunities/funding-programmes-and-open-calls/horizon-europe/european-research-council_en,Marie Skłodowska-Curie Actions,https://research-and-innovation.ec.europa.eu/funding/funding-opportunities/funding-programmes-and-open-calls/horizon-europe/marie-sklodowska-curie-actions_en,Research Infrastructures,https://research-and-innovation.ec.europa.eu/funding/funding-opportunities/funding-programmes-and-open-calls/horizon-europe/research-infrastructures_en,0,0,0,0,,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-search;callCode=null;freeTextSearchKeyword=;matchWholeText=true;typeCodes=1,0;statusCodes=31094501,31094502,31094503;programmePeriod=2021%20-%202027;programCcm2Id=43108390;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","Find your National Contact point (NCP) here. They provide guidance, practical information and assistance on participating in Horizon.",https://ec.europa.eu/research/participants/docs/h2020-funding-guide/other/event210324.htm,Webinar on how to prepare a successful proposal in Horizon Europe.,https://horizoneuropencpportal.eu/,"Horizon Europe NCP Portal resources include training material, access to events relevant for Horizon Europe, useful tools and services for participating in Horizon Europe (such as annotated templates or others) and a password protected NCP corner with useful resources only for NCPs.",https://horizoneuropencpportal.eu/repository/0076e97a-602b-4c5a-95de-19c7f478fa77,Horizon Europe Glossary
Interreg DANUBE (2021-2027),Go To Interreg DANUBE (2021-2027),Interreg Danube Transnational Programme,Go To Interreg Danube Transnational Programme,"Austria, Bulgaria, Croatia, Czechia, Germany, Hungary, Romania, Slovakia, Slovenia, Bosnia and Herzegovina, Moldova, Montenegro, Serbia,  Ukraine.",0,All regions. Some regions in Ukraine and Germany are excluded.,"Ukraine NUTS 3 level included are:
ODESSA OBLAST
CHERNIVTSI OBLAST
IVANO-FRANKIVSK OBLAST
ZAKARPATTIA OBLAST

Germany NUTS 3 level included are:
AICHACH-FRIEDBERG
ALB-DONAU-KREIS
ALTÖTTING
AMBERG, KREISFREIE STADT
AMBERG-SULZBACH
ANSBACH, KREISFREIE STADT
ANSBACH, LANDKREIS
ASCHAFFENBURG, KREISFREIE STADT
ASCHAFFENBURG, LANDKREIS
AUGSBURG, KREISFREIE STADT
AUGSBURG, LANDKREIS
BAD KISSINGEN
BAD TÖLZ-WOLFRATSHAUSEN
BADEN-BADEN, STADTKREIS
BAMBERG, KREISFREIE STADT
BAMBERG, LANDKREIS
BAYREUTH, KREISFREIE STADT
BAYREUTH, LANDKREIS
BERCHTESGADENER LAND
BIBERACH
BODENSEEKREIS
BREISGAU-HOCHSCHWARZWALD
BÖBLINGEN
CALW
CHAM
COBURG, KREISFREIE STADT
COBURG, LANDKREIS
DACHAU
DEGGENDORF
DILLINGEN A.D. DONAU
DINGOLFING-LANDAU
DONAU-RIES
EBERSBERG
EICHSTÄTT
EMMENDINGEN
ENZKREIS
ERDING
ERLANGEN, KREISFREIE STADT
ERLANGEN-HÖCHSTADT
ESSLINGEN
FORCHHEIM
FREIBURG IM BREISGAU, STADTKREIS
FREISING
FREUDENSTADT
FREYUNG-GRAFENAU
FÜRSTENFELDBRUCK
FÜRTH, KREISFREIE STADT
FÜRTH, LANDKREIS
GARMISCH-PARTENKIRCHEN
GÖPPINGEN
GÜNZBURG
HASSBERG
HEIDELBERG, STADTKREIS
HEIDENHEIM
HEILBRONN, LANDKREIS
HEILBRONN, STADTKREIS
HOF, KREISFREIE STADT
HOF, LANDKREIS
HOHENLOHEKREIS
INGOLSTADT, KREISFREIE STADT
KARLSRUHE, LANDKREIS
KARLSRUHE, STADTKREIS
KAUFBEUREN, KREISFREIE STADT
KELHEIM
KEMPTEN (ALLGÄU), KREISFREIE STADT
KITZINGEN
KONSTANZ
KRONACH
KULMBACH
LANDSBERG AM LECH
LANDSHUT, KREISFREIE STADT
LANDSHUT, LANDKREIS
LICHTENFELS
LINDAU (BODENSEE)
LUDWIGSBURG
LÖRRACH
MAIN-SPESSART
MAIN-TAUBER-KREIS
MANNHEIM, STADTKREIS
MEMMINGEN, KREISFREIE STADT
MIESBACH
MILTENBERG
MÜHLDORF A. INN
MÜNCHEN, KREISFREIE STADT
MÜNCHEN, LANDKREIS
NECKAR-ODENWALD-KREIS
NEU-ULM
NEUBURG-SCHROBENHAUSEN
NEUMARKT I. D. OPF.
NEUSTADT A. D. AISCH-BAD WINDSHEIM
NEUSTADT A. D. WALDNAAB
NÜRNBERG, KREISFREIE STADT
NÜRNBERGER LAND
OBERALLGÄU
ORTENAUKREIS
OSTALBKREIS
OSTALLGÄU
PASSAU, KREISFREIE STADT
PASSAU, LANDKREIS
PFAFFENHOFEN A. D. ILM
PFORZHEIM, STADTKREIS
RASTATT
RAVENSBURG
REGEN
REGENSBURG, KREISFREIE STADT
REGENSBURG, LANDKREIS
REMS-MURR-KREIS
REUTLINGEN
RHEIN-NECKAR-KREIS
RHÖN-GRABFELD
ROSENHEIM, KREISFREIE STADT
ROSENHEIM, LANDKREIS
ROTH
ROTTAL-INN
ROTTWEIL
SCHWABACH, KREISFREIE STADT
SCHWANDORF
SCHWARZWALD-BAAR-KREIS
SCHWEINFURT, KREISFREIE STADT
SCHWEINFURT, LANDKREIS
SCHWÄBISCH HALL
SIGMARINGEN
STARNBERG
STRAUBING, KREISFREIE STADT
STRAUBING-BOGEN
STUTTGART, STADTKREIS
TIRSCHENREUTH
TRAUNSTEIN
TUTTLINGEN
TÜBINGEN, LANDKREIS
ULM, STADTKREIS
UNTERALLGÄU
WALDSHUT
WEIDEN I. D. OPF, KREISFREIE STADT
WEILHEIM-SCHONGAU
WEISSENBURG-GUNZENHAUSE
WUNSIEDEL I. FICHTELGEBIRGE
WÜRZBURG, KREISFREIE STADT
WÜRZBURG, LANDKREIS
ZOLLERNALBKREIS",YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,up to 80 %,NOT SPECIFIED,0,NOT SPECIFIED,YES,"At least 3 partners from 3 different countries of the Danube Region programme area, with at least one partner being from an EU Member State of the programme area. Partners can be local, regional, national public bodies/bodies governed by public law, international organisations and private bodies having legal personality.",0,English,,"The Danube Transnational Programme (DTP) promotes economic, social and territorial cohesion in the Danube Region.  The variety of natural environment, the socio-economic differences and cultural diversity of the various parts of the area may be perceived as major challenges but actually represent important opportunities and unexploited potential.",0,Hungarian Ministry of Finance,,1, Smarter Danube Region ,"Strengthening research and innovation capacities, developing skills for smart specialisation and industrial transformation.",0,0,0,0,0,0,0,0,0,0,0,0,,https://www.interreg-danube.eu/dtp-archive/about-dtp/new-funding-2021-2027/call-for-proposals,"Gusztav Csomor
Project Officer
Gusztáv is responsible for the coordination of topics in the thematic field of environment within the programme, including advising applicants, the assessment and monitoring of projects. For Danube Region programme 2021-2027  he is in charge of specific objectives 2.2 Climate change, 2.3 Water management and 2.4 Biodiversity..                                                    
E-mail: gusztav.csomor@interreg-danube.eu
Tel.: +36 1 795 3836
Mobile phone: +36 30 470 9727",0,0,0,0,0,0
Interreg Central Europe,Go To Interreg Central Europe,Interreg Central Europe,Go To Interreg Central Europe,"Austria, Croatia, Czechia, Germany, Hungary, Italy, Poland, Slovakia, Slovenia",0,"1 AT11 Burgenland
2 AT12 Niederösterreich
3 AT13 Wien
4 AT21 Kärnten
5 AT22 Steiermark
6 AT31 Oberösterreich
7 AT32 Salzburg
8 AT33 Tirol
9 AT34 Vorarlberg
10 CZ01 Praha
11 CZ02 Střední Čechy
12 CZ03 Jihozápad
13 CZ04 Severozápad
14 CZ05 Severovýchod
15 CZ06 Jihovýchod
16 CZ07 Střední Morava
17 CZ08 Moravskoslezsko
18 DE11 Stuttgart
19 DE12 Karlsruhe
20 DE13 Freiburg
21 DE14 Tübingen
22 DE21 Oberbayern
23 DE22 Niederbayern
24 DE23 Oberpfalz
25 DE24 Oberfranken
26 DE25 Mittelfranken
27 DE26 Unterfranken
28 DE27 Schwaben
29 DE30 Berlin
30 DE40 Brandenburg
31 DE80 Mecklenburg-Vorpommern
32 DE91 Braunschweig
33 DED2 Dresden
34 DED4 Chemnitz
35 DED5 Leipzig
36 DEE0 Sachsen-Anhalt
37 DEG0 Thüringen
38 HR02 Panonska Hrvatska
39 HR03 Jadranska Hrvatska
40 HR05 Grad Zagreb
41 HR06 Sjeverna Hrvatska
42 HU11 Budapest
43 HU12 Pest
44 HU21 Közép-Dunántúl
45 HU22 Nyugat-Dunántúl
46 HU23 Dél-Dunántúl
47 HU31 Észak-Magyarország
48 HU32 Észak-Alföld
49 HU33 Dél-Alföld
50 ITC1 Piemonte
51 ITC2 Valle d’Aosta/Vallée d’Aoste
52 ITC3 Liguria
53 ITC4 Lombardia
54 ITH1 Provincia Autonoma di Bolzano/Bozen
55 ITH2 Provincia Autonoma di Trento
56 ITH3 Veneto
57 ITH4 Friuli-Venezia Giulia
58 ITH5 Emilia-Romagna
59 PL21 Małopolskie
60 PL22 Śląskie
61 PL41 Wielkopolskie
62 PL42 Zachodniopomorskie
63 PL43 Lubuskie
64 PL51 Dolnośląskie
65 PL52 Opolskie
66 PL61 Kujawsko-pomorskie
67 PL62 Warmińsko-mazurskie
68 PL63 Pomorskie
69 PL71 Łódzkie
70 PL72 Świętokrzyskie
71 PL81 Lubelskie
72 PL82 Podkarpackie
73 PL84 Podlaskie
74 PL91 Warszawski stołeczny
75 PL92 Mazowiecki regionalny
76 SI03 Vzhodna Slovenija
77 SI04 Zahodna Slovenija
78 SK01 Bratislavský kraj
79 SK02 Západné Slovensko
80 SK03 Stredné Slovensko
81 SK04 Východné Slovensko",0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,The ERDF co-financing rate is 80%.,YES,Flat Rate 20% of Direct Costs other than Staff Costs,NOT SPECIFIED,YES,"As a minimum requirement the partnership must involve:
– At least three financing partners;
– From at least three countries; and
– At least two of the financing partners located in Interreg CE regions.",0,English,,"Interreg CENTRAL EUROPE envisions a united central Europe that cooperates - to become smarter, greener
and better connected together. Based on shared needs and a common identity in an area long divided by
the ‘Iron Curtain’, the programme aims for a trustful culture of cooperation beyond administrative borders.",0,"City of Vienna, Municipal Department for European Affairs",,1,Cooperating for a smarter central Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.interreg-central.eu/calls-for-proposals/,"Joint Secretariat
Kirchberggasse 33-35/11
A-1070 Vienna
Tel:  +43 (0) 1 8908 088 - 2403
Email: info@interreg-central.eu",0,0,0,0,0,0
EUI,Go To EUI,European Urban Initiative (EUI),Go To European Urban Initiative (EUI),EU-27,0,EU cities with more than 50.000 inhabitants or equivalent city aggomerations,0,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,up to 80 %,YES,0,YES,YES,at least 3 partners from different EU cities ,HIGH,English,,Sustainable and innovative urban development,"Climate adaptation, Circular Economy, Air Quality, New European Bauhaus, Culture and heritage, Energy transition, Digital transition, Demographic change, Jobs and skills, Nature & biodiversity, Mobility, Urban security, Poverty",0,,1,not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.urban-initiative.eu/calls-proposals/second-call-proposals-innovative-actions ,"https://www.urban-initiative.eu/our-team   
Les Arcuriales, 45D rue de Tournai, 59 000 Lille - France, tel. 0033 (0)3 61 76 59 34; info@urban-initiative.eu ",https://www.urban-initiative.eu/sites/default/files/2023-05/EN_ToR_2nd%20EUI-IA%20Call%20for%20Proposals_31V2023.pdf ,Terms of reference of present calls,https://www.urban-initiative.eu/online-guidance-innovative-actions ,on-line guidance,0,0
EUCF,Go To EUCF,European City Facility (EUCF),Go To European City Facility (EUCF),EU-27,0,EU regions,0,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,lump sum 60.000 EUR,NO,0,YES,NO,0,LOW,English,,reduction of energy consumption and green gas emmissions,Energy and transport,"Consortium of EnergyCities, Climate Alliance, ICLEI and others
https://www.eucityfacility.eu/about/who.html ",,1,not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.eucityfacility.eu/calls/application-process.html ,"https://fmp.eucityfacility.eu/iss/NewTicket/ 
https://www.eucityfacility.eu/tn/contact.html",https://www.eucityfacility.eu/news-events/events.html,0,0,0,https://www.eucityfacility.eu/fileadmin/user_upload/2022_06_03_D2.7_EUCF_Guidelines_for_Applicants.pdf ,Guidelines for Applicants
EIB Elena,Go To EIB Elena,ELENA (European Local ENergy Assistance) by European Investment Bank (EIB),Go To ELENA (European Local ENergy Assistance) by European Investment Bank (EIB),EU-27,0,EU regions + regions in programme associated countries,0,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,"Typically, ELENA supports investment programmes above €30 million with a three-year implementation period.",0,not specified,YES,NO,0,MEDIUM,English,,Energy efficiency and renewable energy in buildings and innovative urban transport,"energy efficiency, sustainble residential, sustainable urban transport",European Investment Bank (EIB),,1,Energy efficiency,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.eib.org/en/products/advisory-services/elena/index.htm ,"EIB, elena@eib.org  ",0,0,0,0,https://www.eib.org/attachments/documents/elena_faq_en_20220216.pdf,FAQ
EEA & Norway Grants,Go To EEA & Norway Grants,EEA and Norway Grants,Go To EEA and Norway Grants,"Estonia, Latvia, Lithuania, Poland, Czechia, Slovakia, Hungary, Slovenia, Croatia, Bulgaria, Romania, Greece, Portugal, Norway, Liechtenstein, Iceland",0,Regions in above-mentioned countries,0,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,up to 100 %,YES,depends on subprogrammes and calls,YES,YES,different conditions in different subprogrammes,LOW,English,,"To contribute to a more equal Europe (both socially and economically) and to strengthen the relations between Iceland, Liechtenstein and Norway, and the 15 Beneficiary States in Europe","Environment and climate, Human rights, Society, ",The Norwegian Ministry of Foreign Affairs in cooperation with The Financial Mechanism Committee (FMC) and national bodies (in CZ: The Ministry of Finance),,1,"Environment, energy, Climate Change and Local Carbon Economy",https://eeagrants.org/topics-programmes ,0,0,0,0,0,0,0,0,0,0,0,0,,https://eeagrants.org/currently-available-funding ,"info@efta.int; eva.honningsvag@efta.int; tel. +32 (0) 492 148 173; https://eeagrants.org/contact  
national contact points: https://eeagrants.org/about-us/contact/national-focal-points  ",0,0,https://eeagrants.org/apply-for-funding,Application guidelines,0,0
